차종,가격,연식,배기량,주행거리,색상,변속기,연료,선루프,LED헤드램프,어댑티드헤드램프,가죽시트,열선시트(앞좌석),통풍시트,후방센서,스마트키,네비게이션(순정),네비게이션(비순정),전손유무,소유자 이전 횟수,침수유무
GM대우 레스타  캠핑카 -,"4,680만원",2013.07,"3,760 cc ()","161,867 km",흰색투톤,수동,디젤,0,0,0,1,0,0,1,0,0,1,,,
현대 그랜저IG  3.0 LPi  프리미엄 스페셜,"2,190만원",2018.09 (19년형),"2,999 cc (235마력)","117,609 km",흰색,자동,LPG,0,1,0,1,1,1,1,1,1,0,,,
제네시스 GV80  3.0 디젤 5인승,"5,990만원",2021.09,"2,996 cc (278마력)","22,097 km",진회색,자동,디젤,0,1,0,1,1,1,1,1,1,0,,,
기아 카니발 4세대  3.5 가솔린 7인승 시그니처,"4,350만원",2022.07 (23년형),"3,470 cc (294마력)","22,635 km",흰색 (스노우 화이트 펄),자동,가솔린,1,0,0,1,1,1,1,1,1,0,,,
현대 포니2  픽업 -,"1,100만원",1986.05,"1,238 cc ()","48,000 km",파란색,수동,가솔린,,,,,,,,,,,,,
현대 팰리세이드  3.8 가솔린 4WD 프레스티지,"2,780만원",2019.08,"3,778 cc (295마력)","106,959 km",흰색,자동,가솔린,1,1,1,1,1,1,1,1,1,0,전손: 0 , 3회, 침수분손 : 0 
KG모빌리티 렉스턴 스포츠 칸  2.2 디젤 4WD 캠핑카,"5,999만원",2020.12 (21년형),"2,157 cc (181마력)","24,574 km",흰색,자동,디젤,,,,,,,,,,,,,
KG모빌리티 더 뉴 렉스턴 스포츠 칸  2.2 디젤 4WD 프레스티지,"4,590만원",2021.05,"2,157 cc (187마력)","24,000 km",흰색,자동,디젤,,,,,,,,,,,,,
기아 더 뉴 카니발  3.3 가솔린 9인승 하이리무진 노블레스 스페셜,"2,990만원",2020.06,"3,342 cc (280마력)","260,000 km",검정색,자동,가솔린/LPG겸용,,,,,,,,,,,,,
현대 제네시스 DH  G380 익스클루시브,[판매완료],2014.04 (15년형),"3,778 cc (315마력)","141,771 km",흰색,자동,가솔린,1,1,1,1,1,1,1,1,1,0,,,
현대 그랜드스타렉스  캠핑카 -,"2,880만원",2014.10 (15년형),"2,497 cc (174마력)","190,606 km",진회색,자동,디젤,0,0,0,1,1,1,1,0,0,0,,,
기아 더 뉴 카니발  2.2 디젤 9인승 노블레스 스페셜,"1,790만원",2018.10 (19년형),"2,199 cc (202마력)","206,000 km",흰색,자동,디젤,,,,,,,,,,,,,
기아 봉고3  1.2톤 킹캡 초장축 노블레스,740만원,2015.06,"2,497 cc (133마력)","180,000 km",청색,수동,디젤,0,0,0,1,1,0,1,0,0,0,,,
제네시스 G70  2.0 터보 스포츠팩,"2,380만원",2019.04,"1,998 cc (255마력)","80,465 km",진회색 (카본 메탈),자동,가솔린,1,1,1,1,1,1,1,1,1,0,전손: 0 , 2회, 침수분손 : 0 
기아 더 뉴 쏘렌토  2.0 디젤 2WD 프레스티지,"2,330만원",2019.02 (20년형),"1,995 cc (186마력)","35,000 km",흰색,자동,디젤,0,0,0,1,1,1,1,1,1,0,,,
현대 그랜드스타렉스  캠핑카 -,"2,900만원",2017.02,"2,497 cc (174마력)","129,000 km",검정색,자동,디젤,,,,,,,,,,,,,
현대 뉴 카운티  캠핑카 -,"6,880만원",2016.09,"3,933 cc (170마력)","113,668 km",흰색투톤,수동,디젤,0,0,0,1,0,0,1,0,0,0,,,
KG모빌리티 토레스  1.5 가솔린 2WD T7,"2,990만원",2023.10 (24년형),"1,497 cc (170마력)","2,700 km",회색,자동,가솔린,0,1,0,1,1,1,1,1,1,0,전손: 0 , 1회, 침수분손 : 0 
제네시스 GV80  3.0 디젤 7인승,"3,700만원",2020.03,"2,996 cc (278마력)","87,874 km",흰색,자동,디젤,0,1,0,1,1,1,1,1,1,0,,,
제네시스 G70  2.2 디젤 AWD 슈프림,"2,490만원",2018.03,"2,199 cc (202마력)","77,000 km",흰색,자동,디젤,,,,,,,,,,,,,
현대 팰리세이드  3.8 가솔린 4WD 프레스티지,"3,399만원",2019.03,"3,778 cc (295마력)","19,924 km",진청색,자동,가솔린,0,1,0,1,1,1,1,1,1,0,,,
기아 봉고3  CRDi 킹캡 초장축 리미티드,599만원,2016.04,"2,497 cc ()","260,000 km",청색,자동,디젤,0,0,0,1,1,0,0,0,0,0,,,
기아 모하비 더 마스터  3.0 디젤 4WD 7인승 마스터즈,"3,080만원",2019.11,"2,959 cc (260마력)","127,000 km",검정색,자동,디젤,1,1,1,1,1,1,1,1,1,0,전손:  , 회, 도난: